product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395506
disable-admin-notices,91850
optimole-wp,72169
robin-image-optimizer,54180
otter-blocks,35163
remove-category-url,34452
cyrlitera,29066
neve,28588
cyr-and-lat,18188
templates-patterns-collection,16391
wp-full-stripe-free,10924
feedzy-rss-feeds,10685
themeisle-companion,8714
wp-cloudflare-page-cache,8141
menu-icons,8118
wp-maintenance-mode,7907
hyve-lite,7626
instagram-slider-widget,5308
visualizer,3134
multiple-pages-generator-by-porthas,2980
wpcf7-redirect,2515
insert-php,2051
hestia,2038
tweet-old-post,1461
anti-spam,1130
media-library-organizer,598
intergeo-maps,543
shop-isle,505
neve-fse,386
raft,263
non-profit-fse,134
riverbank,109
fork,67
church-fse,60
jaxon,54
lmscourse-fse,20
eduacademy,19
