product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399396
disable-admin-notices,93508
optimole-wp,73703
robin-image-optimizer,53216
otter-blocks,35805
remove-category-url,35265
neve,29255
cyrlitera,28810
cyr-and-lat,18379
templates-patterns-collection,17017
wp-full-stripe-free,11574
feedzy-rss-feeds,10916
themeisle-companion,8763
wp-cloudflare-page-cache,8262
menu-icons,8143
hyve-lite,7845
wp-maintenance-mode,7493
instagram-slider-widget,5439
visualizer,3198
multiple-pages-generator-by-porthas,3082
wpcf7-redirect,2492
hestia,2073
insert-php,2011
tweet-old-post,1464
anti-spam,1131
media-library-organizer,568
intergeo-maps,553
shop-isle,517
neve-fse,376
raft,259
non-profit-fse,135
riverbank,110
fork,68
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
