product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396010
disable-admin-notices,92109
optimole-wp,72320
robin-image-optimizer,54095
otter-blocks,35241
remove-category-url,34544
cyrlitera,29017
neve,28682
cyr-and-lat,18199
templates-patterns-collection,16465
wp-full-stripe-free,11022
feedzy-rss-feeds,10734
themeisle-companion,8723
wp-cloudflare-page-cache,8164
menu-icons,8125
wp-maintenance-mode,7858
hyve-lite,7650
instagram-slider-widget,5319
visualizer,3128
multiple-pages-generator-by-porthas,2992
wpcf7-redirect,2511
insert-php,2046
hestia,2041
tweet-old-post,1462
anti-spam,1137
media-library-organizer,596
intergeo-maps,545
shop-isle,506
neve-fse,391
raft,261
non-profit-fse,134
riverbank,110
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
