product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390575
disable-admin-notices,89456
optimole-wp,70928
robin-image-optimizer,55537
otter-blocks,34410
remove-category-url,32976
cyrlitera,28915
neve,28175
cyr-and-lat,18218
templates-patterns-collection,15771
feedzy-rss-feeds,10436
wp-full-stripe-free,10286
themeisle-companion,8628
wp-maintenance-mode,8489
menu-icons,8146
wp-cloudflare-page-cache,7964
hyve-lite,7400
instagram-slider-widget,5197
visualizer,2953
multiple-pages-generator-by-porthas,2879
wpcf7-redirect,2548
insert-php,2068
hestia,1991
tweet-old-post,1436
anti-spam,1108
media-library-organizer,618
intergeo-maps,536
shop-isle,495
neve-fse,380
raft,260
non-profit-fse,133
riverbank,104
fork,65
church-fse,61
jaxon,54
eduacademy,22
lmscourse-fse,19
