product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396685
disable-admin-notices,92512
optimole-wp,72668
robin-image-optimizer,53832
otter-blocks,35360
remove-category-url,34706
neve,28839
cyrlitera,28808
cyr-and-lat,18268
templates-patterns-collection,16586
wp-full-stripe-free,11158
feedzy-rss-feeds,10792
themeisle-companion,8750
wp-cloudflare-page-cache,8178
menu-icons,8127
wp-maintenance-mode,7754
hyve-lite,7695
instagram-slider-widget,5350
visualizer,3137
multiple-pages-generator-by-porthas,3018
wpcf7-redirect,2511
hestia,2055
insert-php,2034
tweet-old-post,1459
anti-spam,1140
media-library-organizer,589
intergeo-maps,547
shop-isle,510
neve-fse,387
raft,260
non-profit-fse,135
riverbank,110
fork,69
church-fse,62
jaxon,54
lmscourse-fse,21
eduacademy,19
