product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392547
disable-admin-notices,90278
optimole-wp,71292
robin-image-optimizer,55227
otter-blocks,34680
remove-category-url,33596
cyrlitera,29023
neve,28421
cyr-and-lat,18297
templates-patterns-collection,15948
feedzy-rss-feeds,10481
wp-full-stripe-free,10467
themeisle-companion,8659
wp-maintenance-mode,8319
menu-icons,8073
wp-cloudflare-page-cache,8035
hyve-lite,7447
instagram-slider-widget,5245
visualizer,3041
multiple-pages-generator-by-porthas,2895
wpcf7-redirect,2532
insert-php,2049
hestia,2009
tweet-old-post,1449
anti-spam,1099
media-library-organizer,615
intergeo-maps,536
shop-isle,499
neve-fse,383
raft,261
non-profit-fse,132
riverbank,105
fork,66
church-fse,61
jaxon,55
eduacademy,21
lmscourse-fse,19
