product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398393
disable-admin-notices,93211
optimole-wp,73981
robin-image-optimizer,52674
otter-blocks,35895
remove-category-url,35237
neve,29368
cyrlitera,28432
cyr-and-lat,18276
templates-patterns-collection,17117
wp-full-stripe-free,11714
feedzy-rss-feeds,10965
themeisle-companion,8759
wp-cloudflare-page-cache,8294
menu-icons,8149
hyve-lite,7914
wp-maintenance-mode,7370
instagram-slider-widget,5421
visualizer,3206
multiple-pages-generator-by-porthas,3096
wpcf7-redirect,2487
hestia,2077
insert-php,1996
tweet-old-post,1473
anti-spam,1136
media-library-organizer,567
intergeo-maps,553
shop-isle,518
neve-fse,371
raft,261
non-profit-fse,134
riverbank,111
fork,69
church-fse,64
jaxon,54
lmscourse-fse,22
eduacademy,19
