product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396428
disable-admin-notices,92380
optimole-wp,72528
robin-image-optimizer,53980
otter-blocks,35332
remove-category-url,34660
cyrlitera,28798
neve,28797
cyr-and-lat,18251
templates-patterns-collection,16559
wp-full-stripe-free,11118
feedzy-rss-feeds,10781
themeisle-companion,8737
wp-cloudflare-page-cache,8183
menu-icons,8127
wp-maintenance-mode,7784
hyve-lite,7687
instagram-slider-widget,5336
visualizer,3129
multiple-pages-generator-by-porthas,3008
wpcf7-redirect,2511
hestia,2052
insert-php,2036
tweet-old-post,1461
anti-spam,1137
media-library-organizer,592
intergeo-maps,547
shop-isle,508
neve-fse,388
raft,261
non-profit-fse,134
riverbank,110
fork,67
church-fse,62
jaxon,54
lmscourse-fse,20
eduacademy,19
