product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396474
disable-admin-notices,92425
optimole-wp,72566
robin-image-optimizer,53910
otter-blocks,35348
remove-category-url,34679
neve,28816
cyrlitera,28795
cyr-and-lat,18253
templates-patterns-collection,16570
wp-full-stripe-free,11139
feedzy-rss-feeds,10786
themeisle-companion,8746
wp-cloudflare-page-cache,8187
menu-icons,8130
wp-maintenance-mode,7767
hyve-lite,7689
instagram-slider-widget,5338
visualizer,3131
multiple-pages-generator-by-porthas,3013
wpcf7-redirect,2513
hestia,2054
insert-php,2035
tweet-old-post,1458
anti-spam,1138
media-library-organizer,591
intergeo-maps,547
shop-isle,510
neve-fse,388
raft,261
non-profit-fse,135
riverbank,110
fork,67
church-fse,62
jaxon,54
lmscourse-fse,20
eduacademy,19
