product,active_sites
ALL_PRODUCTS_DEDUPLICATED,396155
disable-admin-notices,92262
optimole-wp,72405
robin-image-optimizer,54056
otter-blocks,35285
remove-category-url,34611
cyrlitera,28805
neve,28753
cyr-and-lat,18230
templates-patterns-collection,16513
wp-full-stripe-free,11078
feedzy-rss-feeds,10763
themeisle-companion,8727
wp-cloudflare-page-cache,8163
menu-icons,8128
wp-maintenance-mode,7810
hyve-lite,7667
instagram-slider-widget,5325
visualizer,3130
multiple-pages-generator-by-porthas,3003
wpcf7-redirect,2510
hestia,2048
insert-php,2040
tweet-old-post,1461
anti-spam,1139
media-library-organizer,592
intergeo-maps,546
shop-isle,506
neve-fse,389
raft,261
non-profit-fse,134
riverbank,110
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
