product,active_sites
ALL_PRODUCTS_DEDUPLICATED,390555
disable-admin-notices,90107
optimole-wp,71026
robin-image-optimizer,54327
otter-blocks,34517
remove-category-url,33669
cyrlitera,28951
neve,28028
cyr-and-lat,18238
templates-patterns-collection,15916
wp-full-stripe-free,10450
feedzy-rss-feeds,10434
themeisle-companion,8625
wp-maintenance-mode,8144
menu-icons,8044
wp-cloudflare-page-cache,7974
hyve-lite,7415
instagram-slider-widget,5237
visualizer,3045
multiple-pages-generator-by-porthas,2887
wpcf7-redirect,2511
insert-php,2027
hestia,2002
tweet-old-post,1434
anti-spam,1097
media-library-organizer,611
intergeo-maps,536
shop-isle,498
neve-fse,381
raft,258
non-profit-fse,130
riverbank,105
fork,65
church-fse,60
jaxon,54
eduacademy,20
lmscourse-fse,19
