product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392904
disable-admin-notices,91084
optimole-wp,74920
robin-image-optimizer,50672
otter-blocks,36306
remove-category-url,34946
neve,29817
cyrlitera,26926
cyr-and-lat,17608
templates-patterns-collection,17560
wp-full-stripe-free,12196
feedzy-rss-feeds,11098
themeisle-companion,8755
wp-cloudflare-page-cache,8341
menu-icons,8212
hyve-lite,8160
wp-maintenance-mode,6880
instagram-slider-widget,5260
visualizer,3271
multiple-pages-generator-by-porthas,3133
wpcf7-redirect,2449
hestia,2100
insert-php,1942
tweet-old-post,1474
anti-spam,1139
intergeo-maps,559
media-library-organizer,544
shop-isle,529
neve-fse,377
raft,262
non-profit-fse,136
riverbank,114
fork,71
church-fse,70
jaxon,52
lmscourse-fse,21
eduacademy,17
