product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392445
disable-admin-notices,90358
optimole-wp,71374
robin-image-optimizer,54911
otter-blocks,34709
remove-category-url,33661
cyrlitera,29040
neve,28162
cyr-and-lat,18302
templates-patterns-collection,15974
feedzy-rss-feeds,10505
wp-full-stripe-free,10499
themeisle-companion,8663
wp-maintenance-mode,8295
menu-icons,8075
wp-cloudflare-page-cache,8039
hyve-lite,7454
instagram-slider-widget,5251
visualizer,3050
multiple-pages-generator-by-porthas,2901
wpcf7-redirect,2530
insert-php,2051
hestia,2011
tweet-old-post,1448
anti-spam,1102
media-library-organizer,615
intergeo-maps,536
shop-isle,499
neve-fse,384
raft,260
non-profit-fse,131
riverbank,105
fork,67
church-fse,61
jaxon,55
eduacademy,21
lmscourse-fse,19
