product,active_sites
ALL_PRODUCTS_DEDUPLICATED,398553
disable-admin-notices,93277
optimole-wp,73925
robin-image-optimizer,52677
otter-blocks,35884
remove-category-url,35251
neve,29362
cyrlitera,28525
cyr-and-lat,18299
templates-patterns-collection,17103
wp-full-stripe-free,11700
feedzy-rss-feeds,10948
themeisle-companion,8751
wp-cloudflare-page-cache,8279
menu-icons,8149
hyve-lite,7906
wp-maintenance-mode,7392
instagram-slider-widget,5431
visualizer,3207
multiple-pages-generator-by-porthas,3092
wpcf7-redirect,2491
hestia,2075
insert-php,2005
tweet-old-post,1473
anti-spam,1134
media-library-organizer,567
intergeo-maps,553
shop-isle,518
neve-fse,371
raft,261
non-profit-fse,135
riverbank,111
fork,69
church-fse,64
jaxon,54
lmscourse-fse,22
eduacademy,19
