product,active_sites
ALL_PRODUCTS_DEDUPLICATED,389708
disable-admin-notices,88969
optimole-wp,70820
robin-image-optimizer,55647
otter-blocks,34343
remove-category-url,32820
cyrlitera,28692
neve,28091
cyr-and-lat,18191
templates-patterns-collection,15703
feedzy-rss-feeds,10436
wp-full-stripe-free,10229
themeisle-companion,8620
wp-maintenance-mode,8562
menu-icons,8186
wp-cloudflare-page-cache,7947
hyve-lite,7378
instagram-slider-widget,5178
visualizer,2952
multiple-pages-generator-by-porthas,2882
wpcf7-redirect,2559
insert-php,2075
hestia,1984
tweet-old-post,1435
anti-spam,1107
media-library-organizer,619
intergeo-maps,536
shop-isle,494
neve-fse,380
raft,258
non-profit-fse,132
riverbank,103
fork,65
church-fse,62
jaxon,54
eduacademy,22
lmscourse-fse,19
