product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397493
disable-admin-notices,92664
optimole-wp,74192
robin-image-optimizer,52349
otter-blocks,35988
remove-category-url,35277
neve,29467
cyrlitera,28163
cyr-and-lat,18155
templates-patterns-collection,17222
wp-full-stripe-free,11831
feedzy-rss-feeds,11001
themeisle-companion,8738
wp-cloudflare-page-cache,8313
menu-icons,8156
hyve-lite,7981
wp-maintenance-mode,7263
instagram-slider-widget,5414
visualizer,3200
multiple-pages-generator-by-porthas,3119
wpcf7-redirect,2481
hestia,2080
insert-php,2002
tweet-old-post,1476
anti-spam,1130
media-library-organizer,561
intergeo-maps,555
shop-isle,521
neve-fse,373
raft,261
non-profit-fse,137
riverbank,111
fork,69
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
