product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392623
disable-admin-notices,90962
optimole-wp,74947
robin-image-optimizer,50571
otter-blocks,36313
remove-category-url,34919
neve,29835
cyrlitera,26862
cyr-and-lat,17602
templates-patterns-collection,17566
wp-full-stripe-free,12197
feedzy-rss-feeds,11088
themeisle-companion,8767
wp-cloudflare-page-cache,8327
menu-icons,8217
hyve-lite,8171
wp-maintenance-mode,6857
instagram-slider-widget,5252
visualizer,3273
multiple-pages-generator-by-porthas,3130
wpcf7-redirect,2447
hestia,2103
insert-php,1942
tweet-old-post,1477
anti-spam,1139
intergeo-maps,560
media-library-organizer,544
shop-isle,530
neve-fse,377
raft,262
non-profit-fse,136
riverbank,114
fork,71
church-fse,70
jaxon,52
lmscourse-fse,21
eduacademy,17
