product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397588
disable-admin-notices,92893
optimole-wp,72944
robin-image-optimizer,53742
otter-blocks,35462
remove-category-url,34816
neve,28972
cyrlitera,28838
cyr-and-lat,18311
templates-patterns-collection,16709
wp-full-stripe-free,11271
feedzy-rss-feeds,10797
themeisle-companion,8747
wp-cloudflare-page-cache,8195
menu-icons,8127
hyve-lite,7725
wp-maintenance-mode,7701
instagram-slider-widget,5385
visualizer,3140
multiple-pages-generator-by-porthas,3043
wpcf7-redirect,2512
hestia,2058
insert-php,2024
tweet-old-post,1456
anti-spam,1146
media-library-organizer,586
intergeo-maps,547
shop-isle,511
neve-fse,383
raft,260
non-profit-fse,134
riverbank,111
fork,68
church-fse,63
jaxon,54
lmscourse-fse,21
eduacademy,20
