product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394855
disable-admin-notices,91579
optimole-wp,72123
robin-image-optimizer,54276
otter-blocks,35077
remove-category-url,34266
cyrlitera,29041
neve,28526
cyr-and-lat,18207
templates-patterns-collection,16305
wp-full-stripe-free,10837
feedzy-rss-feeds,10631
themeisle-companion,8720
wp-cloudflare-page-cache,8127
menu-icons,8113
wp-maintenance-mode,8001
hyve-lite,7598
instagram-slider-widget,5282
visualizer,3129
multiple-pages-generator-by-porthas,2961
wpcf7-redirect,2523
insert-php,2053
hestia,2028
tweet-old-post,1457
anti-spam,1116
media-library-organizer,603
intergeo-maps,542
shop-isle,501
neve-fse,390
raft,261
non-profit-fse,133
riverbank,108
fork,66
church-fse,61
jaxon,54
eduacademy,20
lmscourse-fse,20
