product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391040
disable-admin-notices,89646
optimole-wp,71030
robin-image-optimizer,55477
otter-blocks,34496
remove-category-url,33118
cyrlitera,28951
neve,28247
cyr-and-lat,18243
templates-patterns-collection,15831
feedzy-rss-feeds,10446
wp-full-stripe-free,10346
themeisle-companion,8635
wp-maintenance-mode,8454
menu-icons,8115
wp-cloudflare-page-cache,7988
hyve-lite,7403
instagram-slider-widget,5208
visualizer,2963
multiple-pages-generator-by-porthas,2881
wpcf7-redirect,2544
insert-php,2062
hestia,1996
tweet-old-post,1440
anti-spam,1101
media-library-organizer,615
intergeo-maps,536
shop-isle,496
neve-fse,381
raft,260
non-profit-fse,133
riverbank,104
fork,65
church-fse,61
jaxon,54
eduacademy,21
lmscourse-fse,19
