product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394033
disable-admin-notices,91189
optimole-wp,72051
robin-image-optimizer,54474
otter-blocks,34908
remove-category-url,34068
cyrlitera,29085
neve,28391
cyr-and-lat,18287
templates-patterns-collection,16186
wp-full-stripe-free,10702
feedzy-rss-feeds,10592
themeisle-companion,8703
wp-cloudflare-page-cache,8089
menu-icons,8084
wp-maintenance-mode,8037
hyve-lite,7546
instagram-slider-widget,5259
visualizer,3100
multiple-pages-generator-by-porthas,2944
wpcf7-redirect,2525
insert-php,2065
hestia,2024
tweet-old-post,1446
anti-spam,1111
media-library-organizer,605
intergeo-maps,539
shop-isle,501
neve-fse,389
raft,262
non-profit-fse,131
riverbank,108
fork,65
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
