product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395855
disable-admin-notices,92103
optimole-wp,74710
robin-image-optimizer,51707
otter-blocks,36131
remove-category-url,35201
neve,29676
cyrlitera,27503
cyr-and-lat,17937
templates-patterns-collection,17401
wp-full-stripe-free,12005
feedzy-rss-feeds,11090
themeisle-companion,8739
wp-cloudflare-page-cache,8311
menu-icons,8193
hyve-lite,8080
wp-maintenance-mode,7064
instagram-slider-widget,5342
visualizer,3214
multiple-pages-generator-by-porthas,3114
wpcf7-redirect,2478
hestia,2085
insert-php,1982
tweet-old-post,1476
anti-spam,1147
intergeo-maps,556
media-library-organizer,550
shop-isle,527
neve-fse,374
raft,260
non-profit-fse,135
riverbank,113
fork,71
church-fse,67
jaxon,55
lmscourse-fse,21
eduacademy,19
