product,active_sites
ALL_PRODUCTS_DEDUPLICATED,395976
disable-admin-notices,92170
optimole-wp,72366
robin-image-optimizer,54083
otter-blocks,35272
remove-category-url,34577
cyrlitera,28784
neve,28726
cyr-and-lat,18222
templates-patterns-collection,16496
wp-full-stripe-free,11043
feedzy-rss-feeds,10754
themeisle-companion,8726
wp-cloudflare-page-cache,8164
menu-icons,8124
wp-maintenance-mode,7838
hyve-lite,7654
instagram-slider-widget,5323
visualizer,3128
multiple-pages-generator-by-porthas,3005
wpcf7-redirect,2509
hestia,2044
insert-php,2044
tweet-old-post,1461
anti-spam,1138
media-library-organizer,596
intergeo-maps,546
shop-isle,506
neve-fse,391
raft,261
non-profit-fse,134
riverbank,110
fork,67
church-fse,61
jaxon,54
lmscourse-fse,20
eduacademy,19
