product,active_sites
ALL_PRODUCTS_DEDUPLICATED,397914
disable-admin-notices,92991
optimole-wp,73080
robin-image-optimizer,53677
otter-blocks,35514
remove-category-url,34888
neve,29010
cyrlitera,28844
cyr-and-lat,18318
templates-patterns-collection,16757
wp-full-stripe-free,11320
feedzy-rss-feeds,10825
themeisle-companion,8742
wp-cloudflare-page-cache,8206
menu-icons,8123
hyve-lite,7740
wp-maintenance-mode,7678
instagram-slider-widget,5393
visualizer,3145
multiple-pages-generator-by-porthas,3052
wpcf7-redirect,2508
hestia,2062
insert-php,2022
tweet-old-post,1453
anti-spam,1141
media-library-organizer,578
intergeo-maps,547
shop-isle,511
neve-fse,380
raft,260
non-profit-fse,134
riverbank,112
fork,68
church-fse,63
jaxon,55
lmscourse-fse,22
eduacademy,20
