product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392406
disable-admin-notices,90920
optimole-wp,74976
robin-image-optimizer,50442
otter-blocks,36319
remove-category-url,34901
neve,29854
cyrlitera,26804
cyr-and-lat,17591
templates-patterns-collection,17581
wp-full-stripe-free,12219
feedzy-rss-feeds,11087
themeisle-companion,8772
wp-cloudflare-page-cache,8330
menu-icons,8215
hyve-lite,8179
wp-maintenance-mode,6839
instagram-slider-widget,5246
visualizer,3271
multiple-pages-generator-by-porthas,3128
wpcf7-redirect,2448
hestia,2105
insert-php,1940
tweet-old-post,1483
anti-spam,1139
intergeo-maps,561
media-library-organizer,545
shop-isle,532
neve-fse,379
raft,263
non-profit-fse,135
riverbank,114
fork,71
church-fse,70
jaxon,52
lmscourse-fse,21
eduacademy,18
