product,active_sites
ALL_PRODUCTS_DEDUPLICATED,399216
disable-admin-notices,93492
optimole-wp,73632
robin-image-optimizer,53236
otter-blocks,35752
remove-category-url,35208
neve,29195
cyrlitera,28824
cyr-and-lat,18380
templates-patterns-collection,16966
wp-full-stripe-free,11536
feedzy-rss-feeds,10897
themeisle-companion,8759
wp-cloudflare-page-cache,8249
menu-icons,8140
hyve-lite,7829
wp-maintenance-mode,7519
instagram-slider-widget,5438
visualizer,3195
multiple-pages-generator-by-porthas,3081
wpcf7-redirect,2498
hestia,2071
insert-php,2011
tweet-old-post,1462
anti-spam,1130
media-library-organizer,572
intergeo-maps,551
shop-isle,516
neve-fse,373
raft,258
non-profit-fse,135
riverbank,110
fork,68
church-fse,64
jaxon,55
lmscourse-fse,22
eduacademy,19
