product,active_sites
ALL_PRODUCTS_DEDUPLICATED,394474
disable-admin-notices,91740
optimole-wp,74956
robin-image-optimizer,51040
otter-blocks,36296
remove-category-url,35054
neve,29786
cyrlitera,27138
cyr-and-lat,17745
templates-patterns-collection,17519
wp-full-stripe-free,12141
feedzy-rss-feeds,11089
themeisle-companion,8764
wp-cloudflare-page-cache,8330
menu-icons,8201
hyve-lite,8143
wp-maintenance-mode,6945
instagram-slider-widget,5303
visualizer,3252
multiple-pages-generator-by-porthas,3137
wpcf7-redirect,2461
hestia,2096
insert-php,1958
tweet-old-post,1478
anti-spam,1143
intergeo-maps,559
media-library-organizer,548
shop-isle,529
neve-fse,376
raft,262
non-profit-fse,136
riverbank,114
fork,72
church-fse,67
jaxon,52
lmscourse-fse,21
eduacademy,18
