product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392908
disable-admin-notices,90714
optimole-wp,71682
robin-image-optimizer,54449
otter-blocks,34829
remove-category-url,33936
cyrlitera,29038
neve,28269
cyr-and-lat,18276
templates-patterns-collection,16094
wp-full-stripe-free,10613
feedzy-rss-feeds,10572
themeisle-companion,8672
wp-maintenance-mode,8106
menu-icons,8076
wp-cloudflare-page-cache,8065
hyve-lite,7508
instagram-slider-widget,5263
visualizer,3074
multiple-pages-generator-by-porthas,2915
wpcf7-redirect,2523
insert-php,2062
hestia,2021
tweet-old-post,1441
anti-spam,1101
media-library-organizer,611
intergeo-maps,538
shop-isle,498
neve-fse,390
raft,259
non-profit-fse,129
riverbank,107
fork,65
church-fse,61
jaxon,54
eduacademy,19
lmscourse-fse,19
