product,active_sites
ALL_PRODUCTS_DEDUPLICATED,391094
disable-admin-notices,90144
optimole-wp,71148
robin-image-optimizer,54475
otter-blocks,34572
remove-category-url,33676
cyrlitera,28983
neve,28077
cyr-and-lat,18275
templates-patterns-collection,15938
wp-full-stripe-free,10469
feedzy-rss-feeds,10465
themeisle-companion,8637
wp-maintenance-mode,8186
menu-icons,8051
wp-cloudflare-page-cache,8009
hyve-lite,7429
instagram-slider-widget,5240
visualizer,3046
multiple-pages-generator-by-porthas,2893
wpcf7-redirect,2515
insert-php,2033
hestia,2002
tweet-old-post,1436
anti-spam,1099
media-library-organizer,611
intergeo-maps,536
shop-isle,498
neve-fse,381
raft,259
non-profit-fse,131
riverbank,105
fork,67
church-fse,60
jaxon,54
eduacademy,20
lmscourse-fse,19
