product,active_sites
ALL_PRODUCTS_DEDUPLICATED,392213
disable-admin-notices,90876
optimole-wp,74982
robin-image-optimizer,50345
otter-blocks,36325
remove-category-url,34880
neve,29865
cyrlitera,26746
templates-patterns-collection,17592
cyr-and-lat,17566
wp-full-stripe-free,12229
feedzy-rss-feeds,11091
themeisle-companion,8774
wp-cloudflare-page-cache,8330
menu-icons,8216
hyve-lite,8185
wp-maintenance-mode,6817
instagram-slider-widget,5241
visualizer,3273
multiple-pages-generator-by-porthas,3128
wpcf7-redirect,2448
hestia,2107
insert-php,1934
tweet-old-post,1483
anti-spam,1135
intergeo-maps,561
media-library-organizer,544
shop-isle,532
neve-fse,379
raft,263
non-profit-fse,135
riverbank,114
fork,71
church-fse,70
jaxon,52
lmscourse-fse,21
eduacademy,18
